Description,2017,2018,2019,2020,2021,2022,state,county
Current-dollar GDP (thousands of current dollars) ,(NA),(NA),(NA),109847,131682,143233,,Copper River Census Area
Real GDP (thousands of chained 2017 dollars) ,271161,272417,271443,205321,242486,282233,Alaska,Denali Borough
Chain-type quantity indexes for real GDP ,100.000,100.463,100.104,75.719,89.425,104.083,Alaska,Denali Borough
Current-dollar GDP (thousands of current dollars) ,271161,281002,286845,214632,276449,355840,Alaska,Denali Borough
Real GDP (thousands of chained 2017 dollars) ,276888,281406,268201,249179,240338,250663,Alaska,Dillingham Census Area
Chain-type quantity indexes for real GDP ,100.000,101.632,96.862,89.993,86.800,90.529,Alaska,Dillingham Census Area
Current-dollar GDP (thousands of current dollars) ,276888,286004,279706,267811,265538,288650,Alaska,Dillingham Census Area
Real GDP (thousands of chained 2017 dollars) ,5765988,5667136,5668703,5462327,5646088,5532492,Alaska,Fairbanks North Star Borough
Chain-type quantity indexes for real GDP ,100.000,98.286,98.313,94.734,97.921,95.950,Alaska,Fairbanks North Star Borough
Current-dollar GDP (thousands of current dollars) ,5765988,5834518,5979009,5862412,6412251,6803651,Alaska,Fairbanks North Star Borough
Real GDP (thousands of chained 2017 dollars) ,112647,119149,120582,88873,94173,102242,Alaska,Haines Borough
Chain-type quantity indexes for real GDP ,100.000,105.772,107.043,78.895,83.600,90.763,Alaska,Haines Borough
Current-dollar GDP (thousands of current dollars) ,112647,121669,126560,96378,105603,121088,Alaska,Haines Borough
Real GDP (thousands of chained 2017 dollars) ,88063,93048,91133,78022,83737,96877,,Hoonah-Angoon Census Area
Chain-type quantity indexes for real GDP ,100.000,105.661,103.486,88.598,95.087,110.008,,Hoonah-Angoon Census Area
Current-dollar GDP (thousands of current dollars) ,88063,95536,96088,84321,94135,115692,,Hoonah-Angoon Census Area
Real GDP (thousands of chained 2017 dollars) ,2511152,2467392,2425746,2310434,2367333,2379361,Alaska,Juneau City and Borough
Chain-type quantity indexes for real GDP ,100.000,98.257,96.599,92.007,94.273,94.752,Alaska,Juneau City and Borough
Current-dollar GDP (thousands of current dollars) ,2511152,2530923,2544344,2480532,2702560,2921336,Alaska,Juneau City and Borough
Real GDP (thousands of chained 2017 dollars) ,2810764,2564438,2672406,2709823,2599157,2541367,Alaska,Kenai Peninsula Borough
Chain-type quantity indexes for real GDP ,100.000,91.236,95.078,96.409,92.472,90.416,Alaska,Kenai Peninsula Borough
