Description,2017,2018,2019,2020,2021,2022,state,county
Chain-type quantity indexes for real GDP ,100.000,104.129,105.858,110.567,117.224,118.791,Virginia,Stafford
Current-dollar GDP (thousands of current dollars) ,5427334,5785728,6002415,6446295,7022286,7509110,Virginia,Stafford
Real GDP (thousands of chained 2017 dollars) ,1207768,1090150,1155021,1135621,1091108,1224350,Virginia,Surry
Chain-type quantity indexes for real GDP ,100.000,90.262,95.633,94.026,90.341,101.373,Virginia,Surry
Current-dollar GDP (thousands of current dollars) ,1207768,1127223,1220595,1184542,1320804,1657475,Virginia,Surry
Real GDP (thousands of chained 2017 dollars) ,328656,320844,346380,338250,361066,322233,Virginia,Sussex
Chain-type quantity indexes for real GDP ,100.000,97.623,105.393,102.919,109.861,98.046,Virginia,Sussex
Current-dollar GDP (thousands of current dollars) ,328656,329416,364131,366189,414561,399448,Virginia,Sussex
Real GDP (thousands of chained 2017 dollars) ,1191744,1232645,1190242,1141607,1116833,1172985,Virginia,Tazewell
Chain-type quantity indexes for real GDP ,100.000,103.432,99.874,95.793,93.714,98.426,Virginia,Tazewell
Current-dollar GDP (thousands of current dollars) ,1191744,1264410,1241468,1210505,1274935,1461243,Virginia,Tazewell
Real GDP (thousands of chained 2017 dollars) ,1758686,1711286,1811698,1760017,1722396,1815278,Virginia,Warren
Chain-type quantity indexes for real GDP ,100.000,97.305,103.014,100.076,97.937,103.218,Virginia,Warren
Current-dollar GDP (thousands of current dollars) ,1758686,1754333,1904083,1875550,1980024,2266420,Virginia,Warren
Real GDP (thousands of chained 2017 dollars) ,450849,470565,478117,492396,465424,439101,Virginia,Westmoreland
Chain-type quantity indexes for real GDP ,100.000,104.373,106.048,109.215,103.233,97.394,Virginia,Westmoreland
Current-dollar GDP (thousands of current dollars) ,450849,475013,491192,517956,534713,547712,Virginia,Westmoreland
Real GDP (thousands of chained 2017 dollars) ,1716648,1606252,1446935,1405032,1439266,1520838,Virginia,Wythe
Chain-type quantity indexes for real GDP ,100.000,93.569,84.288,81.847,83.842,88.593,Virginia,Wythe
Current-dollar GDP (thousands of current dollars) ,1716648,1613255,1491866,1503855,1571014,1727521,Virginia,Wythe
Real GDP (thousands of chained 2017 dollars) ,15081071,15230199,14974340,14462514,14895207,14979536,Virginia,Alexandria (Independent City)
Chain-type quantity indexes for real GDP ,100.000,100.989,99.292,95.898,98.768,99.327,Virginia,Alexandria (Independent City)
Current-dollar GDP (thousands of current dollars) ,15081071,15522374,15579648,15361615,16265790,17142026,Virginia,Alexandria (Independent City)
Real GDP (thousands of chained 2017 dollars) ,10081767,10335901,10523558,10680640,11007366,11218526,Virginia,Chesapeake (Independent City)
Chain-type quantity indexes for real GDP ,100.000,102.521,104.382,105.940,109.181,111.275,Virginia,Chesapeake (Independent City)
Current-dollar GDP (thousands of current dollars) ,10081767,10539252,10988323,11434845,12209753,13283498,Virginia,Chesapeake (Independent City)
Real GDP (thousands of chained 2017 dollars) ,6665700,6580513,6660504,6618066,6694614,6665814,Virginia,Hampton (Independent City)
Chain-type quantity indexes for real GDP ,100.000,98.722,99.922,99.285,100.434,100.002,Virginia,Hampton (Independent City)
Current-dollar GDP (thousands of current dollars) ,6665700,6747574,6965129,7056390,7418915,7778510,Virginia,Hampton (Independent City)
Real GDP (thousands of chained 2017 dollars) ,12322800,13128148,13627777,13669923,14533311,15339116,Virginia,Newport News (Independent City)
Chain-type quantity indexes for real GDP ,100.000,106.535,110.590,110.932,117.938,124.478,Virginia,Newport News (Independent City)
Current-dollar GDP (thousands of current dollars) ,12322800,13300392,14097674,14476813,15573003,17068443,Virginia,Newport News (Independent City)
Real GDP (thousands of chained 2017 dollars) ,21628031,19931986,19200787,18962549,20103020,20534141,Virginia,Norfolk (Independent City)
Chain-type quantity indexes for real GDP ,100.000,92.158,88.777,87.676,92.949,94.942,Virginia,Norfolk (Independent City)
Current-dollar GDP (thousands of current dollars) ,21628031,20427379,20145633,20226632,22236759,24103230,Virginia,Norfolk (Independent City)
Real GDP (thousands of chained 2017 dollars) ,5886680,5807692,6129334,6052599,6151098,6192136,Virginia,Portsmouth (Independent City)
Chain-type quantity indexes for real GDP ,100.000,98.658,104.122,102.819,104.492,105.189,Virginia,Portsmouth (Independent City)
Current-dollar GDP (thousands of current dollars) ,5886680,5964238,6452874,6510270,6873303,7331235,Virginia,Portsmouth (Independent City)
Real GDP (thousands of chained 2017 dollars) ,22575624,23130169,23522992,23630347,24590280,25350816,Virginia,Richmond (Independent City)
Chain-type quantity indexes for real GDP ,100.000,102.456,104.196,104.672,108.924,112.293,Virginia,Richmond (Independent City)
Current-dollar GDP (thousands of current dollars) ,22575624,23538182,24450766,25229715,26889264,28709439,Virginia,Richmond (Independent City)
Real GDP (thousands of chained 2017 dollars) ,7098974,7125071,7079474,7007938,7465819,7617071,Virginia,Roanoke (Independent City)
Chain-type quantity indexes for real GDP ,100.000,100.368,99.725,98.718,105.168,107.298,Virginia,Roanoke (Independent City)
Current-dollar GDP (thousands of current dollars) ,7098974,7266389,7381070,7484735,8269881,8856616,Virginia,Roanoke (Independent City)
Real GDP (thousands of chained 2017 dollars) ,3671560,3734372,3882219,3935576,4083173,4083418,Virginia,Suffolk (Independent City)
Chain-type quantity indexes for real GDP ,100.000,101.711,105.738,107.191,111.211,111.218,Virginia,Suffolk (Independent City)
Current-dollar GDP (thousands of current dollars) ,3671560,3798629,4042298,4206652,4508473,4751118,Virginia,Suffolk (Independent City)
Real GDP (thousands of chained 2017 dollars) ,22325354,21818147,22335512,22084798,23102181,23245091,Virginia,Virginia Beach (Independent City)
Chain-type quantity indexes for real GDP ,100.000,97.728,100.046,98.922,103.480,104.120,Virginia,Virginia Beach (Independent City)
Current-dollar GDP (thousands of current dollars) ,22325354,22300339,23375909,23685662,25553090,27117863,Virginia,Virginia Beach (Independent City)
Real GDP (thousands of chained 2017 dollars) ,11560398,11844942,11879525,11469466,12539076,12901635,,Albemarle + Charlottesville
Chain-type quantity indexes for real GDP ,100.000,102.461,102.761,99.213,108.466,111.602,,Albemarle + Charlottesville
Current-dollar GDP (thousands of current dollars) ,11560398,12092359,12382586,12336378,13877145,14869480,,Albemarle + Charlottesville
Real GDP (thousands of chained 2017 dollars) ,856831,881760,896654,823816,866302,865140,,Alleghany + Covington
Chain-type quantity indexes for real GDP ,100.000,102.910,104.648,96.147,101.105,100.970,,Alleghany + Covington
Current-dollar GDP (thousands of current dollars) ,856831,902195,931630,863431,954602,1040796,,Alleghany + Covington
Real GDP (thousands of chained 2017 dollars) ,5064115,5135189,5150015,4919741,5140168,5295475,,Augusta
Chain-type quantity indexes for real GDP ,100.000,101.403,101.696,97.149,101.502,104.569,,Augusta
Current-dollar GDP (thousands of current dollars) ,5064115,5228310,5376362,5281617,5738021,6332013,,Augusta
Real GDP (thousands of chained 2017 dollars) ,6946511,7365271,7389135,7099334,7282517,7301812,,Campbell + Lynchburg
Chain-type quantity indexes for real GDP ,100.000,106.028,106.372,102.200,104.837,105.115,,Campbell + Lynchburg
Current-dollar GDP (thousands of current dollars) ,6946511,7496076,7707141,7595051,8037645,8636187,,Campbell + Lynchburg
Real GDP (thousands of chained 2017 dollars) ,969032,961547,942633,911112,916999,924084,,Carroll + Galax
Chain-type quantity indexes for real GDP ,100.000,99.228,97.276,94.023,94.630,95.362,,Carroll + Galax
Current-dollar GDP (thousands of current dollars) ,969032,982945,986933,986664,1044919,1128337,,Carroll + Galax
Real GDP (thousands of chained 2017 dollars) ,2791652,2833995,2832870,2774879,2826770,2914662,,Dinwiddie
Chain-type quantity indexes for real GDP ,100.000,101.517,101.476,99.399,101.258,104.406,,Dinwiddie
Current-dollar GDP (thousands of current dollars) ,2791652,2907308,2966198,2976796,3188198,3525766,,Dinwiddie
Real GDP (thousands of chained 2017 dollars) ,114188029,119273660,125609583,125345421,133352801,137925802,,Fairfax
Chain-type quantity indexes for real GDP ,100.000,104.454,110.002,109.771,116.784,120.788,,Fairfax
Current-dollar GDP (thousands of current dollars) ,114188029,120738631,129015685,130155397,141142785,151888956,,Fairfax
Real GDP (thousands of chained 2017 dollars) ,6434285,6566665,6745498,6832732,7216217,7220706,,Frederick + Winchester
Chain-type quantity indexes for real GDP ,100.000,102.057,104.837,106.193,112.153,112.222,,Frederick + Winchester
Current-dollar GDP (thousands of current dollars) ,6434285,6693371,7043035,7319784,8027677,8630449,,Frederick + Winchester
Real GDP (thousands of chained 2017 dollars) ,798404,849400,1385945,1390115,1503597,1574256,,Greensville + Emporia
Chain-type quantity indexes for real GDP ,100.000,106.387,173.589,174.112,188.325,197.175,,Greensville + Emporia
Current-dollar GDP (thousands of current dollars) ,798404,864950,1444773,1472131,1764799,2000481,,Greensville + Emporia
Real GDP (thousands of chained 2017 dollars) ,2088402,2137635,2201421,2144017,2213307,2214765,,Henry + Martinsville
Chain-type quantity indexes for real GDP ,100.000,102.357,105.412,102.663,105.981,106.051,,Henry + Martinsville
Current-dollar GDP (thousands of current dollars) ,2088402,2177698,2295731,2305172,2537954,2736272,,Henry + Martinsville
Real GDP (thousands of chained 2017 dollars) ,5178966,5245569,5207826,5210669,5515671,5769225,,James City + Williamsburg
Chain-type quantity indexes for real GDP ,100.000,101.286,100.557,100.612,106.501,111.397,,James City + Williamsburg
Current-dollar GDP (thousands of current dollars) ,5178966,5325262,5426099,5613666,6073888,6578285,,James City + Williamsburg
Real GDP (thousands of chained 2017 dollars) ,5332180,5516035,5374176,5267213,5564733,5777746,,Montgomery + Radford
Chain-type quantity indexes for real GDP ,100.000,103.448,100.788,98.782,104.361,108.356,,Montgomery + Radford
Current-dollar GDP (thousands of current dollars) ,5332180,5619842,5603073,5683929,6149664,6649605,,Montgomery + Radford
Real GDP (thousands of chained 2017 dollars) ,3375083,3455715,3463846,3312560,3387666,3452985,,Pittsylvania + Danville
Chain-type quantity indexes for real GDP ,100.000,102.389,102.630,98.148,100.373,102.308,,Pittsylvania + Danville
Current-dollar GDP (thousands of current dollars) ,3375083,3522610,3622483,3572198,3807997,4186060,,Pittsylvania + Danville
Real GDP (thousands of chained 2017 dollars) ,3828943,3884305,3862732,3898553,3852553,3799065,,Prince George + Hopewell
Chain-type quantity indexes for real GDP ,100.000,101.446,100.882,101.818,100.617,99.220,,Prince George + Hopewell
Current-dollar GDP (thousands of current dollars) ,3828943,3991662,4044342,4131058,4288812,4519122,,Prince George + Hopewell
Real GDP (thousands of chained 2017 dollars) ,20424444,20981879,21798355,21565436,22278610,22585884,,Prince William
Chain-type quantity indexes for real GDP ,100.000,102.729,106.727,105.586,109.078,110.583,,Prince William
Current-dollar GDP (thousands of current dollars) ,20424444,21404819,22774327,23112525,24712069,26591467,,Prince William
Real GDP (thousands of chained 2017 dollars) ,6008440,6161165,6076687,5868411,6143624,6189165,,Roanoke + Salem
Chain-type quantity indexes for real GDP ,100.000,102.542,101.136,97.669,102.250,103.008,,Roanoke + Salem
Current-dollar GDP (thousands of current dollars) ,6008440,6281321,6339104,6265202,6781924,7317426,,Roanoke + Salem
Real GDP (thousands of chained 2017 dollars) ,1233479,1230010,1285745,1207472,1226764,1269066,,Rockbridge
Chain-type quantity indexes for real GDP ,100.000,99.719,104.237,97.892,99.456,102.885,,Rockbridge
Current-dollar GDP (thousands of current dollars) ,1233479,1258811,1351231,1309595,1382586,1521235,,Rockbridge
Real GDP (thousands of chained 2017 dollars) ,7664982,7859692,7984577,7590097,8204969,8693159,,Rockingham + Harrisonburg
Chain-type quantity indexes for real GDP ,100.000,102.540,104.170,99.023,107.045,113.414,,Rockingham + Harrisonburg
Current-dollar GDP (thousands of current dollars) ,7664982,7941493,8262587,8087108,9064730,10225778,,Rockingham + Harrisonburg
Real GDP (thousands of chained 2017 dollars) ,738051,740048,811748,743804,794928,802221,,Southampton + Franklin
Chain-type quantity indexes for real GDP ,100.000,100.271,109.985,100.780,107.706,108.695,,Southampton + Franklin
Current-dollar GDP (thousands of current dollars) ,738051,757919,850792,802912,912310,986803,,Southampton + Franklin
Real GDP (thousands of chained 2017 dollars) ,6117824,6301247,6392115,6383365,6796218,6996859,,Spotsylvania + Fredericksburg
Chain-type quantity indexes for real GDP ,100.000,102.998,104.483,104.340,111.089,114.368,,Spotsylvania + Fredericksburg
Current-dollar GDP (thousands of current dollars) ,6117824,6430036,6668322,6842763,7599649,8311334,,Spotsylvania + Fredericksburg
Real GDP (thousands of chained 2017 dollars) ,3422510,3558468,3477367,3452419,3577262,3683432,,Washington + Bristol
Chain-type quantity indexes for real GDP ,100.000,103.972,101.603,100.874,104.522,107.624,,Washington + Bristol
Current-dollar GDP (thousands of current dollars) ,3422510,3603086,3611031,3706839,3948560,4211225,,Washington + Bristol
Real GDP (thousands of chained 2017 dollars) ,1538821,1554668,1454597,1422293,1494787,1602095,,Wise + Norton
Chain-type quantity indexes for real GDP ,100.000,101.030,94.527,92.427,97.138,104.112,,Wise + Norton
Current-dollar GDP (thousands of current dollars) ,1538821,1589516,1520122,1531585,1713917,1964347,,Wise + Norton
Real GDP (thousands of chained 2017 dollars) ,2724319,2825378,2878277,2639054,2798047,2853838,,York + Poquoson
Chain-type quantity indexes for real GDP ,100.000,103.710,105.651,96.870,102.706,104.754,,York + Poquoson
Current-dollar GDP (thousands of current dollars) ,2724319,2891287,3021734,2844737,3129149,3389938,,York + Poquoson
Real GDP (thousands of chained 2017 dollars) ,728684,829427,879537,903697,848784,993916,Washington,Adams
Chain-type quantity indexes for real GDP ,100.000,113.825,120.702,124.018,116.482,136.399,Washington,Adams
Current-dollar GDP (thousands of current dollars) ,728684,835164,899137,940172,994580,1327274,Washington,Adams
Real GDP (thousands of chained 2017 dollars) ,618134,638182,652902,657568,690061,684569,Washington,Asotin
Chain-type quantity indexes for real GDP ,100.000,103.243,105.625,106.379,111.636,110.748,Washington,Asotin
Current-dollar GDP (thousands of current dollars) ,618134,652348,684216,711550,789867,839925,Washington,Asotin
Real GDP (thousands of chained 2017 dollars) ,11194529,11510455,11879894,11478886,12089828,12003056,Washington,Benton
Chain-type quantity indexes for real GDP ,100.000,102.822,106.122,102.540,107.998,107.223,Washington,Benton
Current-dollar GDP (thousands of current dollars) ,11194529,11750408,12384702,12270201,13542708,14298489,Washington,Benton
Real GDP (thousands of chained 2017 dollars) ,4462566,4554522,4632063,4540557,4813217,4899098,Washington,Chelan
Chain-type quantity indexes for real GDP ,100.000,102.061,103.798,101.748,107.858,109.782,Washington,Chelan
Current-dollar GDP (thousands of current dollars) ,4462566,4662412,4854674,4846028,5417614,5908408,Washington,Chelan
Real GDP (thousands of chained 2017 dollars) ,2449235,2515426,2560039,2501467,2698536,2669936,Washington,Clallam
Chain-type quantity indexes for real GDP ,100.000,102.702,104.524,102.133,110.179,109.011,Washington,Clallam
Current-dollar GDP (thousands of current dollars) ,2449235,2580589,2692487,2722653,3066158,3213107,Washington,Clallam
Real GDP (thousands of chained 2017 dollars) ,20074346,21401484,22133779,22164411,24490108,24511742,Washington,Clark
Chain-type quantity indexes for real GDP ,100.000,106.611,110.259,110.412,121.997,122.105,Washington,Clark
Current-dollar GDP (thousands of current dollars) ,20074346,21854885,23167582,23748680,27207604,28956280,Washington,Clark
Real GDP (thousands of chained 2017 dollars) ,351595,339240,345341,333032,337883,345160,Washington,Columbia
Chain-type quantity indexes for real GDP ,100.000,96.486,98.221,94.720,96.100,98.170,Washington,Columbia
Current-dollar GDP (thousands of current dollars) ,351595,346977,359530,347508,405819,474153,Washington,Columbia
Real GDP (thousands of chained 2017 dollars) ,4700051,4907501,5231999,5302398,5473446,5449102,Washington,Cowlitz
Chain-type quantity indexes for real GDP ,100.000,104.414,111.318,112.816,116.455,115.937,Washington,Cowlitz
Current-dollar GDP (thousands of current dollars) ,4700051,5026393,5474453,5653568,6176501,6626368,Washington,Cowlitz
Real GDP (thousands of chained 2017 dollars) ,1891431,1881727,1851350,1866829,1857454,1905866,Washington,Douglas
Chain-type quantity indexes for real GDP ,100.000,99.487,97.881,98.699,98.204,100.763,Washington,Douglas
Current-dollar GDP (thousands of current dollars) ,1891431,1923387,1935281,1977122,2165228,2446468,Washington,Douglas
Real GDP (thousands of chained 2017 dollars) ,177135,167798,171981,190828,189452,184698,Washington,Ferry
Chain-type quantity indexes for real GDP ,100.000,94.729,97.091,107.730,106.953,104.270,Washington,Ferry
Current-dollar GDP (thousands of current dollars) ,177135,172929,180589,207790,224039,232490,Washington,Ferry
Real GDP (thousands of chained 2017 dollars) ,3493691,3711236,3865768,3925358,4104087,4203214,Washington,Franklin
Chain-type quantity indexes for real GDP ,100.000,106.227,110.650,112.356,117.471,120.309,Washington,Franklin
Current-dollar GDP (thousands of current dollars) ,3493691,3762722,4011781,4170713,4685290,5254487,Washington,Franklin
Real GDP (thousands of chained 2017 dollars) ,133517,151822,160888,173024,161627,181443,Washington,Garfield
Chain-type quantity indexes for real GDP ,100.000,113.710,120.500,129.590,121.054,135.896,Washington,Garfield
Current-dollar GDP (thousands of current dollars) ,133517,154190,165795,179021,194910,255214,Washington,Garfield
Real GDP (thousands of chained 2017 dollars) ,5748710,5756388,5674582,5762071,5680025,5810498,Washington,Grant
Chain-type quantity indexes for real GDP ,100.000,100.134,98.711,100.232,98.805,101.075,Washington,Grant
Current-dollar GDP (thousands of current dollars) ,5748710,5838142,5851890,6013663,6450380,7189555,Washington,Grant
Real GDP (thousands of chained 2017 dollars) ,2441663,2480422,2566512,2430348,2651045,2644418,Washington,Grays Harbor
Chain-type quantity indexes for real GDP ,100.000,101.587,105.113,99.537,108.575,108.304,Washington,Grays Harbor
Current-dollar GDP (thousands of current dollars) ,2441663,2548014,2693859,2637451,3097661,3309108,Washington,Grays Harbor
Real GDP (thousands of chained 2017 dollars) ,3326986,3202992,3267413,3307517,3542711,3442637,Washington,Island
Chain-type quantity indexes for real GDP ,100.000,96.273,98.209,99.415,106.484,103.476,Washington,Island
Current-dollar GDP (thousands of current dollars) ,3326986,3285690,3437905,3568904,3950838,4051810,Washington,Island
Real GDP (thousands of chained 2017 dollars) ,1009763,1090443,1117262,1079300,1144422,1161813,Washington,Jefferson
Chain-type quantity indexes for real GDP ,100.000,107.990,110.646,106.886,113.336,115.058,Washington,Jefferson
Current-dollar GDP (thousands of current dollars) ,1009763,1116163,1170999,1163365,1276923,1375486,Washington,Jefferson
Real GDP (thousands of chained 2017 dollars) ,277284701,300927821,321283723,329239691,357017192,367176011,Washington,King
Chain-type quantity indexes for real GDP ,100.000,108.527,115.868,118.737,128.755,132.418,Washington,King
Current-dollar GDP (thousands of current dollars) ,277284701,303176631,329361151,343391645,381423371,406175696,Washington,King
Real GDP (thousands of chained 2017 dollars) ,11972570,12262750,12396819,12734085,13081004,13211612,Washington,Kitsap
Chain-type quantity indexes for real GDP ,100.000,102.424,103.544,106.361,109.258,110.349,Washington,Kitsap
Current-dollar GDP (thousands of current dollars) ,11972570,12558195,13001968,13700210,14549926,15477343,Washington,Kitsap
Real GDP (thousands of chained 2017 dollars) ,1652765,1734680,1781192,1812988,1895579,1874167,Washington,Kittitas
Chain-type quantity indexes for real GDP ,100.000,104.956,107.770,109.694,114.691,113.396,Washington,Kittitas
Current-dollar GDP (thousands of current dollars) ,1652765,1777370,1874580,1963955,2152067,2277555,Washington,Kittitas
Real GDP (thousands of chained 2017 dollars) ,1312267,1530808,1730690,1588044,1658608,1636567,Washington,Klickitat
Chain-type quantity indexes for real GDP ,100.000,116.654,131.885,121.015,126.393,124.713,Washington,Klickitat
Current-dollar GDP (thousands of current dollars) ,1312267,1553568,1790379,1673067,1828387,1917338,Washington,Klickitat
Real GDP (thousands of chained 2017 dollars) ,3096134,3245828,3505738,3423053,3478052,3576678,Washington,Lewis
Chain-type quantity indexes for real GDP ,100.000,104.835,113.230,110.559,112.335,115.521,Washington,Lewis
Current-dollar GDP (thousands of current dollars) ,3096134,3334927,3666821,3675589,4149289,4679182,Washington,Lewis
Real GDP (thousands of chained 2017 dollars) ,382635,422841,442553,489660,483398,520372,Washington,Lincoln
Chain-type quantity indexes for real GDP ,100.000,110.507,115.659,127.970,126.334,135.997,Washington,Lincoln
Current-dollar GDP (thousands of current dollars) ,382635,427792,454903,509049,581127,733026,Washington,Lincoln
Real GDP (thousands of chained 2017 dollars) ,1526522,1635386,1637065,1587194,1676333,1683356,Washington,Mason
Chain-type quantity indexes for real GDP ,100.000,107.132,107.242,103.975,109.814,110.274,Washington,Mason
Current-dollar GDP (thousands of current dollars) ,1526522,1676031,1719628,1727467,1910976,2027893,Washington,Mason
Real GDP (thousands of chained 2017 dollars) ,1499877,1438241,1404083,1464428,1490821,1411887,Washington,Okanogan
Chain-type quantity indexes for real GDP ,100.000,95.891,93.613,97.637,99.396,94.134,Washington,Okanogan
Current-dollar GDP (thousands of current dollars) ,1499877,1462887,1457825,1562253,1707214,1739727,Washington,Okanogan
Real GDP (thousands of chained 2017 dollars) ,697002,713761,731643,727340,757522,742289,Washington,Pacific
Chain-type quantity indexes for real GDP ,100.000,102.405,104.970,104.353,108.683,106.497,Washington,Pacific
Current-dollar GDP (thousands of current dollars) ,697002,730597,765976,785919,864820,901190,Washington,Pacific
Real GDP (thousands of chained 2017 dollars) ,580464,591238,568598,486306,486230,522873,Washington,Pend Oreille
Chain-type quantity indexes for real GDP ,100.000,101.856,97.956,83.779,83.766,90.078,Washington,Pend Oreille
Current-dollar GDP (thousands of current dollars) ,580464,608993,597083,519947,561758,650783,Washington,Pend Oreille
Real GDP (thousands of chained 2017 dollars) ,41118781,43166237,44500344,44792744,47245996,47097871,Washington,Pierce
Chain-type quantity indexes for real GDP ,100.000,104.979,108.224,108.935,114.901,114.541,Washington,Pierce
Current-dollar GDP (thousands of current dollars) ,41118781,44297415,46733604,48212904,53086306,56444488,Washington,Pierce
Real GDP (thousands of chained 2017 dollars) ,759955,791057,782271,775348,867694,892560,Washington,San Juan
Chain-type quantity indexes for real GDP ,100.000,104.093,102.936,102.026,114.177,117.449,Washington,San Juan
Current-dollar GDP (thousands of current dollars) ,759955,811012,825079,832528,964569,1062220,Washington,San Juan
Real GDP (thousands of chained 2017 dollars) ,6537005,6635744,6669840,6679499,6730598,6468582,Washington,Skagit
Chain-type quantity indexes for real GDP ,100.000,101.510,102.032,102.180,102.962,98.953,Washington,Skagit
Current-dollar GDP (thousands of current dollars) ,6537005,7066746,7054210,6902172,7828693,8772870,Washington,Skagit
Real GDP (thousands of chained 2017 dollars) ,276160,272035,269001,270333,296044,305994,Washington,Skamania
Chain-type quantity indexes for real GDP ,100.000,98.506,97.408,97.890,107.200,110.803,Washington,Skamania
Current-dollar GDP (thousands of current dollars) ,276160,280466,284527,291021,339631,376661,Washington,Skamania
Real GDP (thousands of chained 2017 dollars) ,49789851,51629801,52258308,45864728,47607563,48304328,Washington,Snohomish
Chain-type quantity indexes for real GDP ,100.000,103.695,104.958,92.117,95.617,97.016,Washington,Snohomish
Current-dollar GDP (thousands of current dollars) ,49789851,52343346,54134110,48736536,51601109,55183148,Washington,Snohomish
Real GDP (thousands of chained 2017 dollars) ,24438959,25708297,26427703,26628547,28849199,28861522,Washington,Spokane
Chain-type quantity indexes for real GDP ,100.000,105.194,108.138,108.959,118.046,118.096,Washington,Spokane
Current-dollar GDP (thousands of current dollars) ,24438959,26296383,27657646,28473686,32154015,34270698,Washington,Spokane
Real GDP (thousands of chained 2017 dollars) ,1041027,1056287,1094466,1087448,1146544,1150506,Washington,Stevens
Chain-type quantity indexes for real GDP ,100.000,101.466,105.133,104.459,110.136,110.516,Washington,Stevens
Current-dollar GDP (thousands of current dollars) ,1041027,1083816,1148941,1180343,1321112,1418100,Washington,Stevens
Real GDP (thousands of chained 2017 dollars) ,12907242,13734622,14060838,13747480,14725118,15179737,Washington,Thurston
Chain-type quantity indexes for real GDP ,100.000,106.410,108.938,106.510,114.084,117.606,Washington,Thurston
Current-dollar GDP (thousands of current dollars) ,12907242,14036226,14713779,14858046,16493281,17926804,Washington,Thurston
Real GDP (thousands of chained 2017 dollars) ,84003,87124,92005,99504,98215,102526,Washington,Wahkiakum
Chain-type quantity indexes for real GDP ,100.000,103.715,109.526,118.453,116.918,122.051,Washington,Wahkiakum
Current-dollar GDP (thousands of current dollars) ,84003,88933,96086,106868,110268,122746,Washington,Wahkiakum
Real GDP (thousands of chained 2017 dollars) ,3407116,3451733,3469095,3238194,3305840,3417318,Washington,Walla Walla
Chain-type quantity indexes for real GDP ,100.000,101.310,101.819,95.042,97.028,100.299,Washington,Walla Walla
Current-dollar GDP (thousands of current dollars) ,3407116,3513618,3610333,3441723,3723376,4134076,Washington,Walla Walla
Real GDP (thousands of chained 2017 dollars) ,11651236,12557637,13655023,14158405,14284199,13584365,Washington,Whatcom
Chain-type quantity indexes for real GDP ,100.000,107.779,117.198,121.518,122.598,116.592,Washington,Whatcom
Current-dollar GDP (thousands of current dollars) ,11651236,13424805,14289759,13900916,16502049,19595016,Washington,Whatcom
Real GDP (thousands of chained 2017 dollars) ,2364592,2545443,2596355,2593106,2614265,2691438,Washington,Whitman
Chain-type quantity indexes for real GDP ,100.000,107.648,109.801,109.664,110.559,113.823,Washington,Whitman
Current-dollar GDP (thousands of current dollars) ,2364592,2602827,2716782,2776860,2994503,3417789,Washington,Whitman
Real GDP (thousands of chained 2017 dollars) ,9986455,10545549,10696037,10523373,10676322,10476526,Washington,Yakima
Chain-type quantity indexes for real GDP ,100.000,105.599,107.105,105.376,106.908,104.907,Washington,Yakima
Current-dollar GDP (thousands of current dollars) ,9986455,10674764,11046375,11112097,12137931,13038444,Washington,Yakima
Real GDP (thousands of chained 2017 dollars) ,386989,371656,396236,381116,383938,477730,West Virginia,Barbour
Chain-type quantity indexes for real GDP ,100.000,96.038,102.390,98.482,99.212,123.448,West Virginia,Barbour
Current-dollar GDP (thousands of current dollars) ,386989,384955,412838,395997,446879,628028,West Virginia,Barbour
Real GDP (thousands of chained 2017 dollars) ,3797899,4054309,4047777,3981076,4149768,4075738,West Virginia,Berkeley
Chain-type quantity indexes for real GDP ,100.000,106.751,106.579,104.823,109.265,107.316,West Virginia,Berkeley
Current-dollar GDP (thousands of current dollars) ,3797899,4143011,4241967,4262913,4638216,4881135,West Virginia,Berkeley
Real GDP (thousands of chained 2017 dollars) ,669733,669872,640475,576144,587576,653743,West Virginia,Boone
Chain-type quantity indexes for real GDP ,100.000,100.021,95.631,86.026,87.733,97.613,West Virginia,Boone
Current-dollar GDP (thousands of current dollars) ,669733,689598,669344,612103,678241,829482,West Virginia,Boone
Real GDP (thousands of chained 2017 dollars) ,324102,316367,323758,320204,301722,293222,West Virginia,Braxton
Chain-type quantity indexes for real GDP ,100.000,97.613,99.894,98.797,93.095,90.472,West Virginia,Braxton
Current-dollar GDP (thousands of current dollars) ,324102,324745,337820,345750,357874,374500,West Virginia,Braxton
Real GDP (thousands of chained 2017 dollars) ,863993,902094,937818,950274,981909,836967,West Virginia,Brooke
Chain-type quantity indexes for real GDP ,100.000,104.410,108.545,109.986,113.648,96.872,West Virginia,Brooke
Current-dollar GDP (thousands of current dollars) ,863993,968608,969113,886997,1198274,1372399,West Virginia,Brooke
Real GDP (thousands of chained 2017 dollars) ,4807467,4953451,4989208,4771531,4855011,4988932,West Virginia,Cabell
Chain-type quantity indexes for real GDP ,100.000,103.037,103.780,99.252,100.989,103.775,West Virginia,Cabell
Current-dollar GDP (thousands of current dollars) ,4807467,5075939,5201238,5056748,5396621,5859927,West Virginia,Cabell
Real GDP (thousands of chained 2017 dollars) ,121353,118197,117527,113046,117640,110526,West Virginia,Calhoun
Chain-type quantity indexes for real GDP ,100.000,97.399,96.847,93.155,96.940,91.078,West Virginia,Calhoun
Current-dollar GDP (thousands of current dollars) ,121353,121365,122251,118147,131246,135637,West Virginia,Calhoun
Real GDP (thousands of chained 2017 dollars) ,130668,121696,126812,120464,124188,117029,West Virginia,Clay
